"","Entity.Name","Fisheries.Dep.Only","Fisheries.Ind"
"231","Red hake - Southern Georges Bank / Mid-Atlantic",0,1
"232","Red king crab - Bristol Bay",0,1
"233","Red king crab - Norton Sound",1,1
"234","Red king crab - Pribilof Islands",1,1
"235","Red king crab - Western Aleutian Islands",1,0
"236","Red porgy - Southern Atlantic Coast",1,1
"237","Red snapper - Gulf of Mexico",1,1
"238","Red snapper - Southern Atlantic Coast",1,1
"239","Redbanded rockfish - Pacific Coast",1,0
"240","Redlip parrotfish - Guam | Asmt",1,0
"241","Redlip parrotfish - Main Hawaiian Islands | Asmt",1,1
"242","Redstripe rockfish - Pacific Coast",1,0
"243","Redtail parrotfish - Caribbean | Asmt",1,0
"244","Regal parrotfish - Main Hawaiian Islands | Asmt",1,1
"245","Rex sole - Eastern Gulf of Alaska | Asmt",0,1
"246","Rex sole - Gulf of Alaska",0,1
"247","Rex sole - Pacific Coast",0,1
"248","Rex sole - Western / Central Gulf of Alaska | Asmt",0,1
"249","Ringtail surgeonfish - Main Hawaiian Islands",1,1
"250","Rock sole - Central Gulf of Alaska | Asmt",0,1
"251","Rock sole - Gulf of Alaska",0,1
"252","Rock sole - Pacific Coast",1,0
"253","Rock sole - Western Gulf of Alaska | Asmt",0,1
"254","Rosethorn rockfish - Pacific Coast",1,0
"255","Rosette skate - Southern New England / Mid-Atlantic | Asmt & Status",0,1
"256","Rosy rockfish - Pacific Coast",1,0
"257","Rougheye rockfish - Bering Sea / Aleutian Islands",0,1
"258","Rougheye rockfish - Gulf of Alaska",0,1
"259","Rougheye rockfish - Pacific Coast",1,0
"260","Royal red shrimp - Gulf of Mexico",1,0
"261","Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska",1,1
"262","Sablefish - Pacific Coast",0,1
"263","Sailfish - Western Atlantic",1,0
"264","Sand sole - Pacific Coast",1,0
"265","Sandbar shark - Atlantic and Gulf of Mexico",0,1
"266","Scamp - Gulf of Mexico | Asmt",0,1
"267","Scup - Atlantic Coast",0,1
"268","Sea scallop - Northwestern Atlantic Coast",0,1
"269","Sharpchin rockfish - Pacific Coast",0,1
"270","Shortbelly rockfish - Pacific Coast",0,1
"271","Shortfin mako - North Pacific",1,1
"272","Shortnosed unicornfish - Main Hawaiian Islands | Asmt",1,1
"273","Shortraker rockfish - Bering Sea / Aleutian Islands",0,1
"274","Shortraker rockfish - Gulf of Alaska",0,1
"275","Shortraker rockfish - Pacific Coast",1,0
"276","Shortspine thornyhead - Gulf of Alaska",0,1
"277","Shortspine thornyhead - Pacific Coast",0,1
"278","Silky shark - Western and Central Pacific",1,0
"279","Silver hake - Gulf of Maine / Northern Georges Bank",0,1
"280","Silver hake - Southern Georges Bank / Mid-Atlantic | Asmt & Status",0,1
"281","Silvergray rockfish - Pacific Coast",1,0
"282","Skipjack tuna - Eastern Pacific",1,0
"283","Skipjack tuna - Western Atlantic",1,0
"284","Skipjack tuna - Western and Central Pacific",1,0
"285","Sleek unicornfish - Main Hawaiian Islands | Asmt",1,1
"286","Smooth dogfish - Atlantic",0,1
"287","Smooth skate - Gulf of Maine | Asmt & Status",0,1
"288","Snow crab - Bering Sea",0,1
"289","Snowy grouper - Southern Atlantic Coast",1,1
"290","Southern Tanner crab - Bering Sea",1,1
"291","Spanish mackerel - Gulf of Mexico",1,1
"292","Spanish mackerel - Southern Atlantic Coast",1,1
"293","Spanner crab - Main Hawaiian Islands",1,0
"294","Speckled rockfish - Pacific Coast",1,0
"295","Spectacled parrotfish - Main Hawaiian Islands | Asmt",1,1
"296","Spiny dogfish - Atlantic Coast",0,1
"297","Spiny dogfish - Pacific Coast",0,1
"298","Splitnose rockfish - Pacific Coast",0,1
"299","Squarespot rockfish - Pacific Coast",0,1
"300","Stareye parrotfish - Main Hawaiian Islands | Asmt",1,1
"301","Starry flounder - Pacific Coast",1,1
"302","Starry rockfish - Pacific Coast",1,0
"303","Steephead parrotfish - Guam | Asmt",1,1
"304","Striped marlin - Western and Central North Pacific",1,0
"305","Stripetail rockfish - Pacific Coast",0,1
"306","Summer flounder - Mid-Atlantic Coast",0,1
"307","Swordfish - North Atlantic",1,0
"308","Swordfish - Western and Central North Pacific",1,0
"309","Swordspine rockfish - Pacific Coast",1,0
"310","Thorny skate - Gulf of Maine | Asmt & Status",0,1
"311","Thresher shark - North Pacific",1,1
"312","Tiger rockfish - Pacific Coast",1,0
"313","Tilefish - Gulf of Mexico",0,1
"314","Tilefish - Mid-Atlantic Coast",1,0
"315","Tilefish - Southern Atlantic Coast",1,1
"316","Tope - Pacific Coast",1,0
"317","Treefish - Pacific Coast",1,0
"318","Twosaddle goatfish - Main Hawaiian Islands | Asmt",1,1
"319","Vermilion and Sunset Rockfish Complex - Southern California",1,1
"320","Vermilion and Sunset rockfish Complex - Northern California",1,1
"321","Vermilion rockfish - California",1,0
"322","Vermilion rockfish - Oregon",1,0
"323","Vermilion rockfish - Pacific Coast",1,0
"324","Vermilion rockfish - Washington",1,0
"325","Vermilion snapper - Gulf of Mexico",1,1
"326","Vermilion snapper - Southern Atlantic Coast",1,1
"327","Walleye pollock - Aleutian Islands",0,1
"328","Walleye pollock - Bogoslof",0,1
"329","Walleye pollock - Eastern Bering Sea",1,1
"330","Walleye pollock - Southeast Gulf of Alaska",0,1
"331","Walleye pollock - Western / Central / West Yakutat Gulf of Alaska",0,1
"332","Weathervane scallop - Alaska",0,1
"333","White hake - Gulf of Maine / Georges Bank",0,1
"334","White marlin - Atlantic",1,0
"335","Widow rockfish - Pacific Coast",0,1
"336","Windowpane - Gulf of Maine / Georges Bank",0,1
"337","Windowpane - Southern New England / Mid-Atlantic",0,1
"338","Winter flounder - Georges Bank",0,1
"339","Winter flounder - Gulf of Maine",0,1
"340","Winter flounder - Southern New England / Mid-Atlantic",0,1
"341","Winter skate - Georges Bank / Southern New England | Asmt & Status",0,1
"342","Witch flounder - Northwestern Atlantic Coast",0,1
"343","Yellowedge grouper - Gulf of Mexico | Asmt & Status",1,1
"344","Yelloweye rockfish - Gulf of Alaska",0,1
"345","Yelloweye rockfish - Pacific Coast",1,1
"346","Yellowfin goatfish - Main Hawaiian Islands | Asmt",1,1
"347","Yellowfin sole - Bering Sea / Aleutian Islands",0,1
"348","Yellowfin tuna - Atlantic",1,1
"349","Yellowfin tuna - Eastern Pacific",0,1
"350","Yellowfin tuna - Western and Central Pacific",1,1
"351","Yellowlip emperor - Guam | Asmt",1,0
"352","Yellowmouth rockfish - Pacific Coast",1,0
"353","Yellowstripe goatfish - Main Hawaiian Islands | Asmt",1,1
"354","Yellowtail flounder - Cape Cod / Gulf of Maine",0,1
"355","Yellowtail flounder - Georges Bank",0,1
"356","Yellowtail flounder - Southern New England / Mid-Atlantic",0,1
"357","Yellowtail rockfish - Northern Pacific Coast",0,1
"358","Yellowtail snapper - Southern Atlantic Coast / Gulf of Mexico | Asmt & Status",1,1
