Ecosystem,Survey Type,Survey Name,Entity Name,Stock,Stock Region,Assessment Year,Assessment Month,Degree of Influence
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Fall,American plaice - Gulf of Maine / Georges Bank,American plaice , Gulf of Maine / Georges Bank,2022,9,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Spring,American plaice - Gulf of Maine / Georges Bank,American plaice , Gulf of Maine / Georges Bank,2022,9,Primary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,American Samoa Bottomfish Multi-species Complex,American Samoa Bottomfish Multi,species Complex,2019,8,Primary
Pacific Islands Ecosystem Complex,Recreational CPUE,Recreational CPUE,American Samoa Bottomfish Multi-species Complex,American Samoa Bottomfish Multi,species Complex,2019,8,Primary
Alaska Ecosystem Complex,FINSS Survey,Aleutian Island Groundfish Bottom Trawl,Arrowtooth flounder - Bering Sea / Aleutian Islands,Arrowtooth flounder , Bering Sea / Aleutian Islands,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Groundfish Bottom Trawl,Arrowtooth flounder - Bering Sea / Aleutian Islands,Arrowtooth flounder , Bering Sea / Aleutian Islands,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Upper Continenal Slope Groundfish Bottom Trawl,Arrowtooth flounder - Bering Sea / Aleutian Islands,Arrowtooth flounder , Bering Sea / Aleutian Islands,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Arrowtooth flounder - Gulf of Alaska,Arrowtooth flounder , Gulf of Alaska,2022,12,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Arrowtooth flounder - Pacific Coast,Arrowtooth flounder , Pacific Coast,2021,9,Primary
California Current,Other Survey,AFSC - Slope Bottom Trawl Survey for Pacific coast groundfish (1996-2001). This survey has been discontinued.,Arrowtooth flounder - Pacific Coast,Arrowtooth flounder , Pacific Coast,2021,9,Primary
California Current,Other Survey,NMFS (Conducted by AFSC for 1977-2001 and NWFSC for 2004) Triennial Shelf Bottom Trawl Survey for Pacific coast groundfish. This survey has been discontinued.,Arrowtooth flounder - Pacific Coast,Arrowtooth flounder , Pacific Coast,2021,9,Primary
California Current,Other Survey,"NWFSC - Slope Bottom Trawl Survey for Pacific coast groundfish (1999-2002). This survey has been expanded to the ""NWFSC Shelf/Slope Bottom Trawl Survey for Pacific coast groundfish (2003-current) which is assumed to be Groundfish Bottom Trawl Survey in this drop-down list",Arrowtooth flounder - Pacific Coast,Arrowtooth flounder , Pacific Coast,2021,9,Primary
Alaska Ecosystem Complex,FINSS Survey,Aleutian Island Groundfish Bottom Trawl,Atka mackerel - Aleutian Islands,Atka mackerel , Aleutian Islands,2007,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Aleutian Island Groundfish Bottom Trawl,Atka mackerel - Bering Sea / Aleutian Islands,Atka mackerel , Bering Sea / Aleutian Islands,2022,12,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Fall,Atlantic cod - Eastern Georges Bank | Asmt,Atlantic cod , Eastern Georges Bank | Asmt,2022,7,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Spring,Atlantic cod - Eastern Georges Bank | Asmt,Atlantic cod , Eastern Georges Bank | Asmt,2022,7,Primary
Northeast Shelf,Other Survey,Canadian Survey Data,Atlantic cod - Eastern Georges Bank | Asmt,Atlantic cod , Eastern Georges Bank | Asmt,2022,7,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Fall,Atlantic cod - Georges Bank,Atlantic cod , Georges Bank,2021,9,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Spring,Atlantic cod - Georges Bank,Atlantic cod , Georges Bank,2021,9,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Fall,Atlantic cod - Gulf of Maine,Atlantic cod , Gulf of Maine,2021,9,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Spring,Atlantic cod - Gulf of Maine,Atlantic cod , Gulf of Maine,2021,9,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Fall,Atlantic halibut - Northwestern Atlantic Coast,Atlantic halibut , Northwestern Atlantic Coast,2022,9,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Spring,Atlantic halibut - Northwestern Atlantic Coast,Atlantic halibut , Northwestern Atlantic Coast,2022,9,Primary
Northeast Shelf,FINSS Survey,Atlantic Herring Acoustic Survey,Atlantic herring - Northwestern Atlantic Coast,Atlantic herring , Northwestern Atlantic Coast,2022,6,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Fall,Atlantic herring - Northwestern Atlantic Coast,Atlantic herring , Northwestern Atlantic Coast,2022,6,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Spring,Atlantic herring - Northwestern Atlantic Coast,Atlantic herring , Northwestern Atlantic Coast,2022,6,Primary
Northeast Shelf,FINSS Survey,Shrimp Survey (ASMFC) Northern Shrimp,Atlantic herring - Northwestern Atlantic Coast,Atlantic herring , Northwestern Atlantic Coast,2022,6,Primary
Northeast Shelf,FINSS Survey,Northeast Ecosystem Monitoring (EcoMon)_Fall,Atlantic mackerel - Gulf of Maine / Cape Hatteras,Atlantic mackerel , Gulf of Maine / Cape Hatteras,2021,6,Primary
Northeast Shelf,FINSS Survey,Northeast Ecosystem Monitoring (EcoMon)_Summer,Atlantic mackerel - Gulf of Maine / Cape Hatteras,Atlantic mackerel , Gulf of Maine / Cape Hatteras,2021,6,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Fall,Atlantic mackerel - Gulf of Maine / Cape Hatteras,Atlantic mackerel , Gulf of Maine / Cape Hatteras,2021,6,Secondary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Spring,Atlantic mackerel - Gulf of Maine / Cape Hatteras,Atlantic mackerel , Gulf of Maine / Cape Hatteras,2021,6,Secondary
Northeast Shelf / Southeast Shelf,FINSS Survey,Ecological Monitoring Trawl Survey (GADNR),Atlantic menhaden - Atlantic Coast | Asmt & Status,Atlantic menhaden , Atlantic Coast | Asmt & Status,2022,11,Primary
Northeast Shelf / Southeast Shelf,FINSS Survey,SEAMAP South Atlantic Trawl_Fall,Atlantic menhaden - Atlantic Coast | Asmt & Status,Atlantic menhaden , Atlantic Coast | Asmt & Status,2022,11,Primary
Northeast Shelf / Southeast Shelf,FINSS Survey,SEAMAP South Atlantic Trawl_Summer,Atlantic menhaden - Atlantic Coast | Asmt & Status,Atlantic menhaden , Atlantic Coast | Asmt & Status,2022,11,Primary
Northeast Shelf / Southeast Shelf,FINSS Survey,SEAMAP South Atlantic Trawl_Winter,Atlantic menhaden - Atlantic Coast | Asmt & Status,Atlantic menhaden , Atlantic Coast | Asmt & Status,2022,11,Primary
Northeast Shelf,Other Method,Census of total population. Trap counts and regression of redd counts. For more information see: Annual Report of the U.S. Atlantic Salmon Assessment Committee. Report N.o. 28 - 2015 Activities. Prepared for the U.S. Section to NASCO,Atlantic salmon - Gulf of Maine | Asmt & Status,Atlantic salmon , Gulf of Maine | Asmt & Status,2022,3,Primary
Atlantic Highly Migratory,FINSS Survey,Experimental Bottom Longline Survey,Atlantic sharpnose shark - Atlantic,Atlantic sharpnose shark , Atlantic,2013,10,Primary
Atlantic Highly Migratory,FINSS Survey,SEAMAP Shark/Red Snapper Bottom Longline,Atlantic sharpnose shark - Atlantic,Atlantic sharpnose shark , Atlantic,2013,10,Primary
Atlantic Highly Migratory,FINSS Survey,SEAMAP South Atlantic Coastal Trawl_Summer (SCDNR),Atlantic sharpnose shark - Atlantic,Atlantic sharpnose shark , Atlantic,2013,10,Primary
Atlantic Highly Migratory,FINSS Survey,SEAMAP-GOM Shrimp/Groundfish Trawl_Fall,Atlantic sharpnose shark - Atlantic,Atlantic sharpnose shark , Atlantic,2013,10,Primary
Atlantic Highly Migratory,FINSS Survey,SEAMAP-GOM Shrimp/Groundfish Trawl_Summer,Atlantic sharpnose shark - Atlantic,Atlantic sharpnose shark , Atlantic,2013,10,Primary
Atlantic Highly Migratory,Other Survey,Gillnet survey off Texas 1975 - present,Atlantic sharpnose shark - Atlantic,Atlantic sharpnose shark , Atlantic,2013,10,Primary
Atlantic Highly Migratory,Other Survey,Missippi Bottom Longline Survey 2004 - present,Atlantic sharpnose shark - Atlantic,Atlantic sharpnose shark , Atlantic,2013,10,Primary
Atlantic Highly Migratory,Other Survey,Misssissippi Gillnet survey 1998 - present,Atlantic sharpnose shark - Atlantic,Atlantic sharpnose shark , Atlantic,2013,10,Primary
Atlantic Highly Migratory,Other Survey,Virginia Shark Monitoring and Assessment Program (VASMAP) 1974 - present,Atlantic sharpnose shark - Atlantic,Atlantic sharpnose shark , Atlantic,2013,10,Primary
Atlantic Highly Migratory,Other Survey,"BLLOP combinded (SEDAR 13-DW-12: Carlson et al.: Standardized catch rates of small coastal sharks from the Commercial Shark Fishery Longline Observer Program, 1994-2005)",Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Primary
Atlantic Highly Migratory,Other Survey,"Gillnet Observer Atlantic (SEDAR 13-DW-09: Carlson et al.: The Directed Shark Drift Gillnet Fishery: Characterization of the Small Coastal Shark Catch, Average Size and Standardization of Catch Rates from Observer Data)",Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Primary
Atlantic Highly Migratory,Other Survey,"Gillnet Observer combined (SEDAR 13-DW-09: Carlson et al.: The Directed Shark Drift Gillnet Fishery: Characterization of the Small Coastal Shark Catch, Average Size and Standardization of Catch Rates from Observer Data)",Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Primary
Atlantic Highly Migratory,Other Survey,"MML Gillnet adult (SEDAR 13-DW-38: Ubeda et al.: Relative abundance of bonnethead, Sphyrna tiburo, and Atlantic sharpnose sharks, Rhizoprionodon terraenovae, in two Florida Gulf estuaries, 1995-2004)",Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Primary
Atlantic Highly Migratory,Other Survey,"MML Gillnet juvi (SEDAR 13-DW-38: Ubeda et al.: Relative abundance of bonnethead, Sphyrna tiburo, and Atlantic sharpnose sharks, Rhizoprionodon terraenovae, in two Florida Gulf estuaries, 1995-2004)",Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Primary
Atlantic Highly Migratory,Other Survey,"NMFS LL SE Combined (SEDAR 13-DW-22: Ingram et al.: Catch rates, distribution and size composition of small coastal sharks collected during NOAA Fisheries Bottom Longline Surveys from the U.S. Gulf of Mexico and U.S. Atlantic Ocean)",Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Primary
Atlantic Highly Migratory,Other Survey,PC Gillnet Adult (SEDAR 13-DW-06: Carlson and Bethea: Standardized catch rates of small coastal sharks from a fishery-independent gillnet survey in northwest Florida),Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Primary
Atlantic Highly Migratory,Other Survey,PC Gillnet juvi (SEDAR 13-DW-06: Carlson and Bethea: Standardized catch rates of small coastal sharks from a fishery-independent gillnet survey in northwest Florida),Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Primary
Atlantic Highly Migratory,Other Survey,PC LL (SEDAR 13-DW-05: Carlson: Standardized catch rates of small coastal sharks from a fisheryindependent longline survey in northwest Florida),Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Primary
Atlantic Highly Migratory,Other Survey,SC Coastspan GN (SEDAR 13-DW-30: McCandless et al.: Standardized catch rates of small coastal sharks from the South Carolina COASTSPAN and SCDNR red drum surveys),Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Primary
Atlantic Highly Migratory,Other Survey,SCDNR red drum (SEDAR 13-DW-30: McCandless et al.: Standardized catch rates of small coastal sharks from the South Carolina COASTSPAN and SCDNR red drum surveys),Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Primary
Atlantic Highly Migratory,Other Survey,SEAMAP SA (SEDAR 13-DW-14: Cort鳠and Boylan: Standardized catch rates of Small Coastal Sharks from the SEAMAP-South Atlantic Shallow Water Trawl Survey),Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Primary
Atlantic Highly Migratory,Other Survey,SEAMAP-GoM Extended Fall (SEDAR 13-DW-31: Nichols: Indexes of abundance for small coastal sharks from the SEAMAP trawl surveys),Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Primary
Atlantic Highly Migratory,Other Survey,SEAMAP-GoM Extended Summer (SEDAR 13-DW-31: Nichols: Indexes of abundance for small coastal sharks from the SEAMAP trawl surveys),Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Primary
Atlantic Highly Migratory,Other Survey,"Texas (SEDAR 13-DW-18: Fisher: Fishery-Independent Catch of Small Coastal Sharks in Texas Bays, 1975-2006)",Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Primary
Atlantic Highly Migratory,Other Survey,"UNC (SEDAR 13-DW-34: Schwartz et al.: Trends in relative abundance of shark species caught during a University of North Carolina longline survey between 1972 and 2005 in Onslow Bay, NC)",Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Primary
Atlantic Highly Migratory,Other Survey,VA LL (SEDAR 13-DW-19: Grubbs et al.: Occurrence of small coastal sharks and standardized catch rates of Atlantic sharpnose sharks in the VIMS Longline Survey: 1974-2005),Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Primary
Atlantic Highly Migratory,Other Survey,"BLLOP Atlantic (SEDAR 13-DW-12: Carlson et al.: Standardized catch rates of small coastal sharks from the Commercial Shark Fishery Longline Observer Program, 1994-2005)",Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Secondary
Atlantic Highly Migratory,Other Survey,"BLLOP GoM (SEDAR 13-DW-12: Carlson et al.: Standardized catch rates of small coastal sharks from the Commercial Shark Fishery Longline Observer Program, 1994-2005)",Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Secondary
Atlantic Highly Migratory,Other Survey,"Gillnet Logs (SEDAR 13-DW-26: McCarthy: Standardized catch rates for small coastal sharks from the United States Gulf of Mexico and south Atlantic gillnet fishery, 1998-2005)",Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Secondary
Atlantic Highly Migratory,Other Survey,MS Gillnet adult (SEDAR 13-DW-21: Hoffmayer and Ingram: Catch Rates and Size Composition of Small Coastal Sharks Collected During a Gillnet Survey of Mississippi Coastal Waters During 2001?2006),Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Secondary
Atlantic Highly Migratory,Other Survey,MS Gillnet juvi (SEDAR 13-DW-21: Hoffmayer and Ingram: Catch Rates and Size Composition of Small Coastal Sharks Collected During a Gillnet Survey of Mississippi Coastal Waters During 2001?2006),Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Secondary
Atlantic Highly Migratory,Other Survey,"NE Exp LL (SEDAR 13-DW-28: McCandless and Hoey: Standardized catch rates for Atlantic sharpnose sharks from exploratory longline surveys conducted by the Sandy Hook, NJ and Narragansett, RI labs: 1961-1991)",Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Secondary
Atlantic Highly Migratory,Other Survey,"NMFS LL SE Atlantic (SEDAR 13-DW-22: Ingram et al.: Catch rates, distribution and size composition of small coastal sharks collected during NOAA Fisheries Bottom Longline Surveys from the U.S. Gulf of Mexico and U.S. Atlantic Ocean)",Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Secondary
Atlantic Highly Migratory,Other Survey,"NMFS LL SE GoM (SEDAR 13-DW-22: Ingram et al.: Catch rates, distribution and size composition of small coastal sharks collected during NOAA Fisheries Bottom Longline Surveys from the U.S. Gulf of Mexico and U.S. Atlantic Ocean)",Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Secondary
Atlantic Highly Migratory,Other Survey,SEAMAP-GoM Extended Fall Groundfish (SEDAR 13-DW-31: Nichols: Indexes of abundance for small coastal sharks from the SEAMAP trawl surveys),Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Secondary
Atlantic Highly Migratory,Other Survey,SEAMAP-GoM Extended Fall SEAMAP (SEDAR 13-DW-31: Nichols: Indexes of abundance for small coastal sharks from the SEAMAP trawl surveys),Atlantic sharpnose shark - Atlantic and Gulf of Mexico,Atlantic sharpnose shark , Atlantic and Gulf of Mexico,2007,11,Secondary
Atlantic Highly Migratory,Other Survey,"BLLOP (SEDAR 13-DW-12: Carlson et al.: Standardized catch rates of small coastal sharks from the Commercial Shark Fishery Longline Observer Program, 1994-2005)",Atlantic Small Coastal Shark Complex,Atlantic Small Coastal Shark Complex, Atlantic,2007,11,Primary
Atlantic Highly Migratory,Other Survey,"Gillnet Observer (SEDAR 13-DW-09: Carlson et al.: The Directed Shark Drift Gillnet Fishery: Characterization of the Small Coastal Shark Catch, Average Size and Standardization of Catch Rates from Observer Data)",Atlantic Small Coastal Shark Complex,Atlantic Small Coastal Shark Complex, Atlantic,2007,11,Primary
Atlantic Highly Migratory,Other Survey,"MML Gillnet (SEDAR 13-DW-38: Ubeda et al.: Relative abundance of bonnethead, Sphyrna tiburo, and Atlantic sharpnose sharks, Rhizoprionodon terraenovae, in two Florida Gulf estuaries, 1995-2004)",Atlantic Small Coastal Shark Complex,Atlantic Small Coastal Shark Complex, Atlantic,2007,11,Primary
Atlantic Highly Migratory,Other Survey,"NMFS LL SE Atlantic (SEDAR 13-DW-22: Ingram et al.: Catch rates, distribution and size composition of small coastal sharks collected during NOAA Fisheries Bottom Longline Surveys from the U.S. Gulf of Mexico and U.S. Atlantic Ocean)",Atlantic Small Coastal Shark Complex,Atlantic Small Coastal Shark Complex, Atlantic,2007,11,Primary
Atlantic Highly Migratory,Other Survey,"NMFS LL SE Combined (SEDAR 13-DW-22: Ingram et al.: Catch rates, distribution and size composition of small coastal sharks collected during NOAA Fisheries Bottom Longline Surveys from the U.S. Gulf of Mexico and U.S. Atlantic Ocean)",Atlantic Small Coastal Shark Complex,Atlantic Small Coastal Shark Complex, Atlantic,2007,11,Primary
Atlantic Highly Migratory,Other Survey,"NMFS LL SE GoM (SEDAR 13-DW-22: Ingram et al.: Catch rates, distribution and size composition of small coastal sharks collected during NOAA Fisheries Bottom Longline Surveys from the U.S. Gulf of Mexico and U.S. Atlantic Ocean)",Atlantic Small Coastal Shark Complex,Atlantic Small Coastal Shark Complex, Atlantic,2007,11,Primary
Atlantic Highly Migratory,Other Survey,PC Gillnet (SEDAR 13-DW-06: Carlson and Bethea: Standardized catch rates of small coastal sharks from a fishery-independent gillnet survey in northwest Florida),Atlantic Small Coastal Shark Complex,Atlantic Small Coastal Shark Complex,Atlantic,2007,11,Primary
Atlantic Highly Migratory,Other Survey,PC LL (SEDAR 13-DW-05: Carlson: Standardized catch rates of small coastal sharks from a fisheryindependent longline survey in northwest Florida),Atlantic Small Coastal Shark Complex,Atlantic Small Coastal Shark Complex,Atlantic,2007,11,Primary
Atlantic Highly Migratory,Other Survey,SC Coastspan GN (SEDAR 13-DW-30: McCandless et al.: Standardized catch rates of small coastal sharks from the South Carolina COASTSPAN and SCDNR red drum surveys),Atlantic Small Coastal Shark Complex,Atlantic Small Coastal Shark Complex,Atlantic,2007,11,Primary
Atlantic Highly Migratory,Other Survey,SCDNR red drum (SEDAR 13-DW-30: McCandless et al.: Standardized catch rates of small coastal sharks from the South Carolina COASTSPAN and SCDNR red drum surveys),Atlantic Small Coastal Shark Complex,Atlantic Small Coastal Shark Complex,Atlantic,2007,11,Primary
Atlantic Highly Migratory,Other Survey,SEAMAP SA (SEDAR 13-DW-14: Cort鳠and Boylan: Standardized catch rates of Small Coastal Sharks from the SEAMAP-South Atlantic Shallow Water Trawl Survey),Atlantic Small Coastal Shark Complex,Atlantic Small Coastal Shark Complex,Atlantic,2007,11,Primary
Atlantic Highly Migratory,Other Survey,SEAMAP-GoM Extended Fall (SEDAR 13-DW-31: Nichols: Indexes of abundance for small coastal sharks from the SEAMAP trawl surveys),Atlantic Small Coastal Shark Complex,Atlantic Small Coastal Shark Complex,Atlantic,2007,11,Primary
Atlantic Highly Migratory,Other Survey,SEAMAP-GoM Extended Summer (SEDAR 13-DW-31: Nichols: Indexes of abundance for small coastal sharks from the SEAMAP trawl surveys),Atlantic Small Coastal Shark Complex,Atlantic Small Coastal Shark Complex,Atlantic,2007,11,Primary
Atlantic Highly Migratory,Other Survey,"Texas (SEDAR 13-DW-18: Fisher: Fishery-Independent Catch of Small Coastal Sharks in Texas Bays, 1975-2006)",Atlantic Small Coastal Shark Complex,Atlantic Small Coastal Shark Complex,Atlantic,2007,11,Primary
Atlantic Highly Migratory,Other Survey,"UNC (SEDAR 13-DW-34: Schwartz et al.: Trends in relative abundance of shark species caught during a University of North Carolina longline survey between 1972 and 2005 in Onslow Bay, NC)",Atlantic Small Coastal Shark Complex,Atlantic Small Coastal Shark Complex,Atlantic,2007,11,Primary
Atlantic Highly Migratory,Other Survey,"Gillnet Logs (SEDAR 13-DW-26: McCarthy: Standardized catch rates for small coastal sharks from the United States Gulf of Mexico and south Atlantic gillnet fishery, 1998-2005)",Atlantic Small Coastal Shark Complex,Atlantic Small Coastal Shark Complex,,2007,11,Secondary
Atlantic Highly Migratory,Other Survey,MS Gillnet (SEDAR 13-DW-21: Hoffmayer and Ingram: Catch Rates and Size Composition of Small Coastal Sharks Collected During a Gillnet Survey of Mississippi Coastal Waters During 2001?2006),Atlantic Small Coastal Shark Complex,Atlantic Small Coastal Shark Complex,Atlantic,2007,11,Secondary
Northeast Shelf,FINSS Survey,Atlantic Surf Clam & Ocean Quahog Dredge,Atlantic surfclam - Mid-Atlantic Coast,Atlantic surfclam , Mid-Atlantic Coast,2020,6,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Fall,Atlantic wolffish - Gulf of Maine / Georges Bank,Atlantic wolffish , Gulf of Maine / Georges Bank,2022,9,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Spring,Atlantic wolffish - Gulf of Maine / Georges Bank,Atlantic wolffish , Gulf of Maine / Georges Bank,2022,9,Primary
Northeast Shelf,FINSS Survey,Massachusetts DMF Bottom Trawl_Fall,Atlantic wolffish - Gulf of Maine / Georges Bank,Atlantic wolffish , Gulf of Maine / Georges Bank,2022,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Aurora rockfish - Pacific Coast,Aurora rockfish , Pacific Coast,2013,9,Primary
California Current,Other Survey,AFSC - Slope Bottom Trawl Survey for Pacific coast groundfish (1996-2001). This survey has been discontinued.,Aurora rockfish - Pacific Coast,Aurora rockfish , Pacific Coast,2013,9,Primary
California Current,Other Survey,NMFS (Conducted by AFSC for 1977-2001 and NWFSC for 2004) Triennial Shelf Bottom Trawl Survey for Pacific coast groundfish. This survey has been discontinued.,Aurora rockfish - Pacific Coast,Aurora rockfish , Pacific Coast,2013,9,Primary
California Current,Other Survey,"NWFSC - Slope Bottom Trawl Survey for Pacific coast groundfish (1999-2002). This survey has been expanded to the ""NWFSC Shelf/Slope Bottom Trawl Survey for Pacific coast groundfish (2003-current)",Aurora rockfish - Pacific Coast,Aurora rockfish , Pacific Coast,2013,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Bank rockfish - California,Bank rockfish , California,2010,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Bank rockfish - California,Bank rockfish , California,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Bank rockfish - California,Bank rockfish , California,2010,9,Secondary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Fall,Barndoor skate - Georges Bank / Southern New England | Asmt & Status,Barndoor skate , Georges Bank / Southern New England | Asmt & Status,2022,8,Primary
Alaska Ecosystem Complex,FINSS Survey,Aleutian Island Groundfish Bottom Trawl,Bering Sea / Aleutian Islands Blackspotted and Rougheye Rockfish Complex,Bering Sea / Aleutian Islands Blackspotted and Rougheye Rockfish Complex, Bering Sea / Aleutian Islands,2021,12,Primary
